OBJECTID_1,NAME,Build_Weig,Id_Folder,Name_Folde,Date,Year_Month,X,Y
351,"Новоясеневский проспект, 1Ас2",2,125,"Новоясеневский проспект, 1",2018-02-16,201802,37.508071,55.618809
134,Новый Арбат 6 - высотка,2,126,"Новый Арбат 6, 10,16, 22, 26 - высотки",2016-06-08,201606,37.596564,55.753274
141,Новый Арбат книжки 4,2,127,Новый Арбат книжки,2016-06-10,201606,37.585602,55.751902
352,"улица Ильинка, 11/10с1",1,128,"общество Акрос (улица Ильинка, 1110с1)",2018-04-04,201804,37.627159,55.75583
353,"Кутузовская улица, 9",1,129,Одинцовский район мкр Кутузовский,2016-06-29,201606,37.326052,55.703372
354,Храм Александра Невского,1,130,Олимпийский парк,2017-12-14,201712,37.481837,55.679092
356,Концертный зал Олимпийский,3,131,"Олимпийский — СК, бассейн, мечеть, здание",2018-02-28,201802,37.626426,55.781037
108,Музей Тургенева,1,132,Оперный центр Вишневской и музей Тургенева,2015-07-28,201507,37.596115,55.738719
359,"Орловский переулок, 1",2,133,Орловский переулок вл1,2018-02-08,201802,37.626189,55.784846
57,Останкинская телебашня,10,134,Останкинская телебашня,2015-07-28,201507,37.611687,55.819703
360,"Ленинградский проспект, 32/2",2,135,Отель Советский,2018-03-17,201803,37.56975,55.784813
362,Станция метро Филёвский парк,0,136,Открытые станции Филевской линии,2018-02-14,201802,37.483276,55.739527
364,Охотничий домик,0,137,Охотничий домик — Нескучный сад,2018-02-13,201802,37.58381,55.714579
58,Павелецкий вокзал,1,138,Павелецкий вокзал,2015-07-28,201507,37.639567,55.72971
366,,0,139,Павильоны на Новом Арбате,2018-02-12,201802,37.590807,55.75236
368,,0,140,Павильоны на Тверской площади,2018-02-12,201802,37.609807,55.762
372,Памятник Героям Плевны,1,141,Памятник Героям Плевны,2017-09-12,201709,37.631213,55.756649
374,Памятник Основателю Москвы Юрию Долгорукому,1,142,Памятник Долгорукому и храм в Столешниковом,2017-08-22,201708,37.610098,55.761827
375,В. Маяковский,1,143,Памятник Маяковскому,2018-03-01,201803,37.595754,55.769618
376,Памятник Минину и Пожарскому,0,144,Памятник Минину и Пожарскому,2017-09-12,201709,37.622713,55.752763
377,Памятник Окуджаве,1,145,Памятник Окуджаве Арбат,2018-08-22,201808,37.58789,55.748136
258,Памятник 300-летию Российского флота,3,146,Памятник Петру I,2018-02-21,201802,37.608349,55.738674
378,Памятник_Жукову,1,147,Памятник_Жукову,2018-04-09,201804,37.616873,55.755783
379,"улица Крымский Вал, 9с9",1,148,Парк Горького - входная группа,2018-07-23,201807,37.603407,55.731431
383,"улица Крымский Вал, 9с45",1,149,Парк Горького - дирекция,2017-08-21,201708,37.600886,55.732614
384,Музей Конный двор,2,150,Парк Кузьминки,2017-12-13,201712,37.784316,55.689536
386,"Большой Патриарший переулок, 7с1",0,151,Патриаршие пруды — домик,2018-01-30,201801,37.59341,55.763533
59,Патриарший мост,4,152,Патриарший мост,2015-10-09,201510,37.610165,55.742723
387,платформа Перерва,0,153,Перерва,2018-02-08,201802,37.716336,55.660927
388,"Малая Семёновская улица, 28с19",1,154,Персей Семеновская,2018-04-04,201804,37.715166,55.784253
389,Петровский путевой дворец,2,155,Петровский путевой дворец,2018-02-21,201802,37.552086,55.793464
131,Московский Планетарий,2,156,Планетарий,2016-08-15,201608,37.583626,55.76125
390,Детский сад № 55 Кузнечик,0,157,"Подольск, ул. Генерала Смирнова, 8 дс55 Кузнечик",2018-02-06,201802,37.48625,55.416472
391,Музей Победы,2,158,Поклонная гора,2018-03-19,201803,37.504523,55.730741
393,"Новая площадь, 3/4",2,159,Политехнический музей,2018-03-01,201803,37.629585,55.757723
394,,1,160,Путепровод в Щербинке,2017-06-02,201706,37.56164,55.508712
395,Памятник А. С. Пушкину,1,161,Пушкин_Памятник,2017-08-16,201708,37.605494,55.765357
109,Пушкинский Андреевский мост,4,162,Пушкинский андреевский мост,2015-09-16,201509,37.592715,55.724373
396,ГМИИ имени А.С. Пушкина,2,163,Пушкинский музей,2018-02-22,201802,37.605129,55.747277
397,Храм Священномученика Климента,1,164,Пятницкая-31с2_Храм Климента,2018-03-01,201803,37.627171,55.740692
142,Развязка Ленинградское-МКАД,5,165,развязка ленинградское-МКАД,2015-04-10,201504,37.448792,55.881156
399,,0,166,Развязка МКАД и Волгоградского,2018-02-12,201802,37.830661,55.686914
